l,w,gds,id,fug,vgt,gm,gmoverid,vgs,vds,cgg,vth,vbs,cgs
9.000000000000001e-08,4.800000000000001e-07,3.441e-05,2.201e-05,46450000000.0,0.1642,0.000176,7.995,0.7,0.2,6.03e-16,0.5358,0.0,-5.385e-16
9.000000000000001e-08,1e-06,6.243e-05,4.105e-05,43840000000.0,0.1553,0.0003437,8.372,0.7,0.2,1.248e-15,0.5447,0.0,-1.114e-15
9.000000000000001e-08,1.2000000000000002e-07,3.008e-05,1.187e-05,49910000000.0,0.2962,5.038e-05,4.243,0.8,0.2,1.607e-16,0.5038,0.0,-1.376e-16
9.000000000000001e-08,2.4000000000000003e-07,5.371e-05,2.242e-05,50700000000.0,0.2783,0.0001015,4.527,0.8,0.2,3.186e-16,0.5217,0.0,-2.798e-16
9.000000000000001e-08,4.800000000000001e-07,9.424e-05,4.119e-05,49870000000.0,0.2641,0.0001983,4.814,0.8,0.2,6.329e-16,0.5359,0.0,-5.619e-16
9.000000000000001e-08,1e-06,0.0001758,7.915e-05,48250000000.0,0.2553,0.000398,5.028,0.8,0.2,1.313e-15,0.5447,0.0,-1.167e-15
9.000000000000001e-08,1.2000000000000002e-07,5.16e-05,1.677e-05,45120000000.0,0.3962,4.709e-05,2.808,0.9,0.2,1.661e-16,0.5038,0.0,-1.363e-16
9.000000000000001e-08,2.4000000000000003e-07,9.663e-05,3.227e-05,45560000000.0,0.3782,9.436e-05,2.924,0.9,0.2,3.297e-16,0.5218,0.0,-2.791e-16
9.000000000000001e-08,4.800000000000001e-07,0.0001774,6.051e-05,44950000000.0,0.3641,0.0001851,3.059,0.9,0.2,6.554e-16,0.5359,0.0,-5.636e-16
9.000000000000001e-08,1e-06,0.0003418,0.000118,43610000000.0,0.3552,0.0003727,3.158,0.9,0.2,1.36e-15,0.5448,0.0,-1.174e-15
9.000000000000001e-08,1.2000000000000002e-07,7.25e-05,2.124e-05,39180000000.0,0.4962,4.21e-05,1.982,1.0,0.2,1.71e-16,0.5038,0.0,-1.321e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0001385,4.117e-05,39010000000.0,0.4782,8.328e-05,2.023,1.0,0.2,3.397e-16,0.5218,0.0,-2.718e-16
9.000000000000001e-08,4.800000000000001e-07,0.0002596,7.793e-05,38330000000.0,0.4641,0.0001627,2.088,1.0,0.2,6.759e-16,0.5359,0.0,-5.507e-16
9.000000000000001e-08,1e-06,0.0005073,0.000153,36980000000.0,0.4552,0.0003261,2.131,1.0,0.2,1.403e-15,0.5448,0.0,-1.15e-15
9.000000000000001e-08,1.2000000000000002e-07,9.169e-05,2.518e-05,33360000000.0,0.5962,3.667e-05,1.457,1.1,0.2,1.749e-16,0.5038,0.0,-1.27e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0001767,4.891e-05,32710000000.0,0.5782,7.152e-05,1.462,1.1,0.2,3.48e-16,0.5218,0.0,-2.619e-16
9.000000000000001e-08,4.800000000000001e-07,0.0003342,9.302e-05,31930000000.0,0.5641,0.000139,1.495,1.1,0.2,6.93e-16,0.5359,0.0,-5.313e-16
9.000000000000001e-08,1e-06,0.0006571,0.0001831,30520000000.0,0.5552,0.0002761,1.508,1.1,0.2,1.44e-15,0.5448,0.0,-1.111e-15
9.000000000000001e-08,1.2000000000000002e-07,0.0001088,2.858e-05,28040000000.0,0.6961,3.131e-05,1.096,1.2,0.2,1.777e-16,0.5039,0.0,-1.223e-16
9.000000000000001e-08,2.4000000000000003e-07,0.0002104,5.549e-05,27070000000.0,0.6782,6.02e-05,1.085,1.2,0.2,3.54e-16,0.5218,0.0,-2.524e-16
