Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
8,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
8,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-156.3e-18,,,
8,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.04,,,
8,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",1.151e-3,,,
"Parameters: length=90n, Vd=100m, Vg=300m, width=120n",,,,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",25.4e-9,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",9.042e-9,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",578.6e6,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-208.3e-3,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",244.1e-9,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",27,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",300e-3,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",67.15e-18,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",508.3e-3,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
9,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-34e-18,,,
9,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",9.612,,,
9,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",75.35e-3,,,
"Parameters: length=90n, Vd=100m, Vg=300m, width=240n",,,,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",34.02e-9,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",11.58e-9,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",403.6e6,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-226.4e-3,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",324.5e-9,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",28.03,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",300e-3,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",127.9e-18,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",526.4e-3,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
10,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-60.74e-18,,,
10,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",9.536,,,
10,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",48.23e-3,,,
"Parameters: length=90n, Vd=100m, Vg=300m, width=480n",,,,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",47.61e-9,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",15.89e-9,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",292.5e6,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-240.5e-3,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",455e-9,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",28.63,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",300e-3,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",247.6e-18,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",540.5e-3,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
11,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-111.3e-18,,,
11,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",9.558,,,
11,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",33.11e-3,,,
"Parameters: length=90n, Vd=100m, Vg=300m, width=1u",,,,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",74.33e-9,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",24.57e-9,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",224e6,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-249.4e-3,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",713.2e-9,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",29.02,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",300e-3,,,
12,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
